Spectrum,Element,Known conc,Analytical Platform,Standard,Raw total,Raw conc,raw -C RDEV %,Normalized conc,norm-C RDEV %,Atomic conc stoich,Atomic conc,atom-C RDEV %
NiSi_5kV25nA,Si,0.3236,JEOL8500f-BrukerQuad,Si,0.9857,0.3182,-1.6,0.3226,-0.31,0.5000,0.4988,-0.23
NiSi_5kV25nA,Ni,0.6764,JEOL8500f-BrukerQuad,NiTi,0.9857,0.6681,-1.2,0.6774,0.15,0.5000,0.5012,0.23
TiB2_GLR504_5kV30nA,B,0.3112,JEOL8500f-BrukerQuad,B,1.155,0.3517,14.8,0.3040,-2.3,0.6667,0.6591,-1.1
TiB2_GLR504_5kV30nA,Ti,0.6888,JEOL8500f-BrukerQuad,Ti,1.155,0.8171,18.6,0.6960,1.0,0.3333,0.3409,2.3
TiSi2_GLR504_5kV30nA,Si,0.5399,JEOL8500f-BrukerQuad,Si,0.9919,0.5437,0.70,0.5481,1.5,0.6667,0.6739,1.1
TiSi2_GLR504_5kV30nA,Ti,0.4601,JEOL8500f-BrukerQuad,Ti,0.9919,0.4483,-2.6,0.4519,-1.8,0.3333,0.3261,-2.2
TiO2_GLR504_5kV30nA,O,0.4007,JEOL8500f-BrukerQuad,O,0.9903,0.3961,-1.1,0.4000,-0.17,0.6667,0.6661,-0.10
TiO2_GLR504_5kV30nA,Ti,0.5993,JEOL8500f-BrukerQuad,Ti,0.9903,0.5942,-0.85,0.6000,0.12,0.3333,0.3339,0.19
Al3Ni_5kV25nAs,Al,0.5797,JEOL8500f-BrukerQuad,Al,1.060,0.6173,6.5,0.5821,0.41,0.7500,0.7518,0.24
Al3Ni_5kV25nAs,Ni,0.4203,JEOL8500f-BrukerQuad,NiTi,1.060,0.4432,5.5,0.4179,-0.57,0.2500,0.2482,-0.73
Al3Ni2_5kV25nAs,Al,0.4081,JEOL8500f-BrukerQuad,Al2O3,1.028,0.4313,5.7,0.4195,2.80,0.6000,0.6112,1.9
Al3Ni2_5kV25nAs,Ni,0.5919,JEOL8500f-BrukerQuad,NiTi,1.028,0.5969,0.91,0.5805,-1.90,0.4000,0.3888,-2.8
Al2O3_5keV1nA1000s_TESCAN,O,0.4707,TESCAN_PulseTor,SiO2,1.076,0.4983,5.9,0.4631,-1.6,0.6000,0.5908,-1.2
Al2O3_5keV1nA1000s_TESCAN,Al,0.5293,TESCAN_PulseTor,Al,1.076,0.5777,9.1,0.5369,2.3,0.4000,0.4074,1.9
Anhydrite_4_5keV1nA1000s_TESCAN_SP28,S,0.2355,TESCAN_PulseTor,Cu2S,0.9678,0.2245,-4.7,0.2319,-1.5,0.1667,0.1646,-1.3
Anhydrite_4_5keV1nA1000s_TESCAN_SP28,Ca,0.2955,TESCAN_PulseTor,CaCO3,0.9678,0.2911,-1.1,0.3008,2.2,0.1667,0.1708,2.5
Arsenopyrite_5_5keV1nA1000s_TESCAN_SP28,S,0.1969,TESCAN_PulseTor,Pyrite,1.0194,0.1970,0.05,0.1933,-1.8,0.3333,0.3272,-1.8
Arsenopyrite_5_5keV1nA1000s_TESCAN_SP28,Fe,0.3430,TESCAN_PulseTor,Pyrite,1.0194,0.3633,5.9,0.3563,3.9,0.3333,0.3464,3.9
Arsenopyrite_5_5keV1nA1000s_TESCAN_SP28,As,0.4601,TESCAN_PulseTor,InAs,1.0194,0.4592,-0.20,0.4504,-2.1,0.3333,0.3264,-2.1
BaAl2Si2O8_5keV1nA1000s_TESCAN_MAC14896,Al,0.1437,TESCAN_PulseTor,Albite,1.0411,0.1412,-1.7,0.1357,-5.6,0.1538,0.1473,-4.2
BaAl2Si2O8_5keV1nA1000s_TESCAN_MAC14896,Si,0.1496,TESCAN_PulseTor,Albite,1.0411,0.1565,4.6,0.1503,0.47,0.1538,0.1568,2.0
BaAl2Si2O8_5keV1nA1000s_TESCAN_MAC14896,Ba,0.3658,TESCAN_PulseTor,Barite,1.0411,0.3936,7.6,0.3780,3.3,0.0769,0.807,4.9
Chalcopyrite_12_5keV1nA1000s_TESCAN_SP28,S,0.3494,TESCAN_PulseTor,ZnS,0.9465,0.3246,-7.1,0.3429,-1.9,0.5000,0.4927,-1.5
Chalcopyrite_12_5keV1nA1000s_TESCAN_SP28,Fe,0.3043,TESCAN_PulseTor,Fe2P,0.9465,0.2921,-4.0,0.3086,1.4,0.2500,0.2546,1.8
